sab
sabaton,"armor plate that protects the foot; consists of mail with a solid toe and heel"
sabatons,"armor plate that protects the foot; consists of mail with a solid toe and heel"
sabbat,"a midnight meeting of witches to practice witchcraft and sorcery; in the Middle Ages it was supposed to be a demonic orgy"
sabbath,"a day of rest and worship: Sunday for most Christians; Saturday for the Jews and a few Christians; Friday for Muslims"
sabbaths,"a day of rest and worship: Sunday for most Christians; Saturday for the Jews and a few Christians; Friday for Muslims"
sabbatic,"of or relating to the Sabbath; "Friday is a sabbatical day for Muslims""
sabbats,"a midnight meeting of witches to practice witchcraft and sorcery; in the Middle Ages it was supposed to be a demonic orgy"
sabbed
sabbing
sabe
sabed
sabeing
saber,"a fencing sword with a v-shaped blade and a slightly curved handle","a stout sword with a curved blade and thick back","cut or injure with a saber","kill with a saber"
sabered
sabering
sabers,"a fencing sword with a v-shaped blade and a slightly curved handle","a stout sword with a curved blade and thick back","cut or injure with a saber","kill with a saber"
sabes
sabin,"a unit of acoustic absorption equivalent to the absorption by a square foot of a surface that absorbs all incident sound","United States microbiologist (born in Poland) who developed the Sabin vaccine that is taken orally against poliomyelitis (born 1906)"
sabine,"a river in eastern Texas that flows south into the Gulf of Mexico","a member of an ancient Oscan-speaking people of the central Apennines north of Rome who were conquered and assimilated into the Roman state in 290 BC","of or relating to or characteristic of the Sabines"
sabines,"a river in eastern Texas that flows south into the Gulf of Mexico","a member of an ancient Oscan-speaking people of the central Apennines north of Rome who were conquered and assimilated into the Roman state in 290 BC","of or relating to or characteristic of the Sabines"
sabins,"a unit of acoustic absorption equivalent to the absorption by a square foot of a surface that absorbs all incident sound","United States microbiologist (born in Poland) who developed the Sabin vaccine that is taken orally against poliomyelitis (born 1906)"
sabir
sabirs
sable,"an artist's brush made of sable hairs","the expensive dark brown fur of the marten","a very dark black","a scarf (or trimming) made of sable","marten of northern Asian forests having luxuriant dark brown fur","of a dark somewhat brownish black"
sables,"an artist's brush made of sable hairs","the expensive dark brown fur of the marten","a very dark black","a scarf (or trimming) made of sable","marten of northern Asian forests having luxuriant dark brown fur","of a dark somewhat brownish black"
sabot,"a shoe carved from a single block of wood","footwear usually with wooden soles"
sabotage,"a deliberate act of destruction or disruption in which equipment is damaged","destroy property or hinder normal operations; "The Resistance sabotaged railroad operations during the war""
sabotaged
sabotages,"a deliberate act of destruction or disruption in which equipment is damaged","destroy property or hinder normal operations; "The Resistance sabotaged railroad operations during the war""
sabotaging
saboteur,"someone who commits sabotage or deliberately causes wrecks","a member of a clandestine subversive organization who tries to help a potential invader"
saboteurs,"someone who commits sabotage or deliberately causes wrecks","a member of a clandestine subversive organization who tries to help a potential invader"
sabots,"a shoe carved from a single block of wood","footwear usually with wooden soles"
sabra,"a native-born Israeli"
sabras,"a native-born Israeli"
sabre,"a fencing sword with a v-shaped blade and a slightly curved handle","a stout sword with a curved blade and thick back","cut or injure with a saber","kill with a saber"
sabred
sabres,"a fencing sword with a v-shaped blade and a slightly curved handle","a stout sword with a curved blade and thick back","cut or injure with a saber","kill with a saber"
sabring
sabs
sabulose
sabulous
sac,"an enclosed space; "the trapped miners found a pocket of air"","a case or sheath especially a pollen sac or moss capsule","a member of the Algonquian people formerly living in Wisconsin in the Fox River valley and on the shores of Green Bay","a structure resembling a bag in an animal"
sacaton
sacatons
sacbut
sacbuts
